标题,小区名d:\projects\DSL\college_departments.csv d:\projects\DSL\cr_tsh.py地区板块,户型,面积,朝向,装修,楼层,关注信息,房屋总价,房屋单价
长城山海苑 两室两厅 东南 看房方便,长城山海苑北苑,兰大盘旋路,2室1厅,83.86平米,东 南,简装,中楼层(共33层),0人关注 / 一年前发布, 123万,"14,668元/平"
西关张掖路步行街时代广场地铁一号线黄河风情线,时代广场,西关南关,3室2厅,225.45平米,南 北,简装,中楼层(共25层),0人关注 / 一年前发布, 160万,"7,097元/平"
房屋产权清晰，可随时看房，需要提前联系维护人,新安雅居,海关,2室1厅,92.93平米,南 西,其他,中楼层(共16层),0人关注 / 6个月以前发布, 63万,"6,780元/平"
七里河南街 电梯房 2室1厅 毛坯 南北,省送电公司家属院小区,兰州中心,2室1厅,88.99平米,南 北,毛坯,低楼层(共34层),0人关注 / 1个月以前发布, 63万,"7,080元/平"
广场附  采光无遮挡  交通便利 生活便利 可随时看房,林业厅家属院（甘南路）,东方红广场,2室1厅,52.22平米,南,其他,低楼层(共9层),0人关注 / 1个月以前发布, 50万,"9,575元/平"
火车站电梯房中间楼层落地大窗采光充足产权清晰可按揭,红山绿茵小区,火车站,1室1厅,58.25平米,南,其他,高楼层(共25层),0人关注 / 28天以前发布, 32万,"5,494元/平"
上西园 新高层 两室 精装修 可按揭,新华园小区,建工局,2室2厅,93.67平米,南,精装,高楼层(共32层),0人关注 / 20天以前发布, 90万,"9,609元/平"
产权清晰 楼层好  采光无遮挡 兰大五里铺地铁站,省地震局南昌路家属院,渭源路,2室1厅,61平米,南 北,简装,中楼层(共6层),0人关注 / 7个月以前发布, 92万,"15,082元/平"
西固主干道  采光好 精装修 带家具家电  价格好谈,建苑小区,兰炼十字,2室1厅,49.56平米,南 北,简装,高楼层(共6层),0人关注 / 15天以前发布, 30万,"6,054元/平"
此房南北朝向，户型好，小区安静，购物方便交通,兰储家园,小平房,2室2厅,96.09平米,南,精装,中楼层(共34层),0人关注 / 一年前发布, 59万,"6,141元/平"
大名城紫金轩精装两室朝南好房出售,大名城紫金轩,榆中县,2室1厅,88平米,南,精装,中楼层(共24层),0人关注 / 26天以前发布, 43万,"4,887元/平"
雁滩大润发  正规三室  户型方正 出行方便,雁滩路3566号,万达大润发,3室2厅,123.36平米,南 北,精装,低楼层(共8层),0人关注 / 一年前发布, 98万,"7,945元/平"
小西湖地铁口 电梯房  三室两厅 南北通透 产权清晰,倚能·金河家园,小西湖,3室2厅,113.66平米,南 北,简装,中楼层(共8层),0人关注 / 一年前发布, 128万,"11,262元/平"
海关地铁口天居吾悦广场旁3室2厅2卫精装房,天居锦河丹堤,海关,3室2厅,112.66平米,南,精装,中楼层(共31层),0人关注 / 2个月以前发布, 105万,"9,321元/平"
广场皋兰路甘南路榆中街十一电梯,省工信委家属院（榆中街）,东方红广场,2室1厅,42.9平米,东 西,简装,高楼层(共7层),0人关注 / 7天以前发布, 65万,"15,152元/平"
七里河 建工局 地铁口 南北户型 可按揭·,电力小区,建工局,2室1厅,65.27平米,南 北,简装,高楼层(共8层),0人关注 / 一年前发布, 52万,"7,967元/平"
此房南北通透格局，采光充足，配套设施齐全，交通便利,保利紫薇花语,福源新城,3室2厅,110.51平米,南 北,精装,中楼层(共33层),0人关注 / 8个月以前发布, 57万,"5,158元/平"
民勤街框架户型方正采光无遮挡看房方便业主稳定,新厦开发公司家属院,广武门,3室1厅,82.99平米,东 西,简装,高楼层(共7层),0人关注 / 7个月以前发布, 98万,"11,809元/平"
户型方正，南北通透，采光好视野佳,绿地康养谷,兰州新区,3室1厅,115.81平米,南 北,毛坯,低楼层(共34层),0人关注 / 7个月以前发布, 53.5万,"4,620元/平"
中海品质物业，房子新，环境好，3室,中海铂悦府三期,龚家湾,3室2厅,92平米,南,毛坯,中楼层(共28层),0人关注 / 3个月以前发布, 79.9万,"8,685元/平"
此房目前空置，在小区中间位置，房子楼层采光充足,大名城D区蓝郡,榆中县,3室2厅,130.6平米,南 北,毛坯,中楼层(共18层),0人关注 / 一年前发布, 53万,"4,059元/平"
上西园 园林小区 正规两室一厅,明仁花苑,上西园,2室1厅,65.78平米,东,其他,低楼层(共8层),0人关注 / 20天以前发布, 39万,"5,929元/平"
业主急售，价格好商量，看房方便,水电四局安装分局家属院,临洮街,2室1厅,54.16平米,南 北,简装,低楼层(共6层),0人关注 / 30天以前发布, 20万,"3,693元/平"
黄河北  三室两厅  毛坯 成熟商圈,元森北新时代（石榴园）,黄河北,3室1厅,103平米,西北,毛坯,中楼层(共35层),1人关注 / 2个月以前发布, 66万,"6,408元/平"
豪布斯卡璟园正规两室··户型方正无浪费,兰石豪布斯卡璟园,豪布斯卡,2室1厅,102平米,南,毛坯,中楼层(共30层),1人关注 / 一年前发布, 109万,"10,687元/平"
